,Carpet_record,Clay_record,GS_record,Grass_record,Hard_record,Player_name,fifth_set_recrod,record,the_final_record,Total_Games,Total_GS_Games,Total_Clay_Games,Total_Carpet_Games,Total_Grass_Games,Total_Hard_Games,Total_fifth_set_recrod_Games,Total_final_Games,the_final_recrod,GS_Factor,Final_Factor
0,0.0,0.5,0.0,0.0,0.0, Hajek J.,0.0,0.5,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,Abdulla M.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
2,0.0,0.333333333333,0.0,0.0,0.2,Abel M.,0.0,0.222222222222,0.0,9.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,,-1.0,0.0
3,0.333333333333,0.579399141631,0.311111111111,0.0,0.396226415094,Acasuso J.,0.5,0.504178272981,0.0,359.0,45.0,233.0,12.0,8.0,106.0,8.0,11.0,0.272727272727,-0.236808139093,-0.297913950456
4,0.0,0.0,0.0,0.0,0.0,Adaktusson J.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,Agaev E.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
6,0.714285714286,0.689655172414,0.81308411215,0.689655172414,0.783783783784,Agassi A.,0.625,0.759206798867,0.0,353.0,107.0,58.0,7.0,29.0,259.0,16.0,25.0,0.64,0.0342667587182,-0.0851959831552
7,0.0,0.25,0.25,0.333333333333,0.272727272727,Agenor R.,0.0,0.269230769231,0.0,26.0,4.0,12.0,0.0,3.0,11.0,0.0,0.0,,-0.037037037037,0.0
8,0.0,0.0,0.0,0.0,0.0,Ager J.,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,Agostinelli B.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
10,0.0,0.166666666667,0.0,0.0,0.0,Aguilar J.,0.0,0.166666666667,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,0.0
11,0.0,0.0,0.0,0.0,0.0,Ahouda A.,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
12,0.0,0.0,0.0,0.0,0.166666666667,Al Ghareeb M.,0.0,0.142857142857,0.0,7.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,Al Khulaifi N.G.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,Al Mutawa J.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,Al-Alawi S.K.,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,Al-Ghareeb M.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
17,0.0,0.416666666667,0.416666666667,0.4,0.3125,Alami K.,0.666666666667,0.36,0.0,75.0,12.0,36.0,2.0,5.0,32.0,3.0,0.0,,0.0729613733906,0.0
18,0.0,0.0,0.0,0.0,0.0,Albert M.,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
19,0.0,0.25,0.166666666667,0.5,0.0909090909091,Albot R.,0.0,0.190476190476,0.0,21.0,6.0,8.0,0.0,2.0,11.0,2.0,0.0,,-0.0666666666667,0.0
20,0.0,0.0,0.0,0.0,0.0,Alcaide G.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0
21,0.0,0.125,0.0,0.0,0.0,Aldi F.,0.0,0.111111111111,0.0,9.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,Ali Mutawa J.M.,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0
23,0.0,0.0,0.0,0.4,0.0,Allegro Y.,0.0,0.307692307692,0.0,13.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,,0.0,0.0
24,0.428571428571,0.65664160401,0.583333333333,0.423076923077,0.492307692308,Almagro N.,0.565217391304,0.593301435407,0.0,627.0,108.0,399.0,7.0,26.0,195.0,23.0,23.0,0.565217391304,-0.00847170450695,-0.024241335967
25,0.0,0.0,0.0,0.0,0.0,Almagro N. ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
26,0.0,0.444444444444,0.0,0.0,0.0,Alonso J.,0.0,0.307692307692,0.0,13.0,1.0,9.0,0.0,0.0,4.0,0.0,0.0,,-1.0,0.0
27,0.0,0.0,0.0,0.0,0.0,Altamirano C.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
